"EJ_Cas9_1"	"EJ_Cas9_2"	"EJ_Cas9_3"	"EJ_KO_1"	"EJ_KO_2"	"EJ_KO_3"
"MIIP"	3.53868706426496	3.62565968821479	0.98125273053177	2.68367288031982	3.14617338305961	3.85344272498554
"SNORA70"	1.10537752395785	1.32310083938761	0.126040946855727	1.20475147276021	1.68558614549526	1.10755829448678
"VPS13D"	5.51478969354217	5.48588869992272	5.6927277925436	6.16537244334726	5.87258837795176	5.96683208550763
"DHRS3"	4.27349862839449	4.25396037277762	3.16974305185568	5.72737551674882	6.47927730156865	7.18171418738492
"RP11-474O21.5"	-0.378716736850901	-0.849896185289314	-2.01860285282263	0.257935716628488	2.90801005244213	2.36589455491766
"PRDM2"	5.68468389514176	5.67088054458527	6.85392442929939	6.30838260633527	5.68177928463413	5.40677134904515
"KAZN"	5.43020396767023	5.47055962612885	5.28886404958023	5.36313549755754	6.89041987536953	7.27838247153444
"TMEM51-AS1"	0.298577987473655	0.181070034655705	0.443605262228174	-1.20036223425388	1.11897566984625	3.37754516387732
"TMEM51"	3.26207753742741	3.12301205959812	2.6841421940404	2.46924202450152	4.19897116726753	3.24687332299957
"EFHD2"	5.1171874162263	5.18979447064497	4.43226188584956	4.07480171389481	4.44826360337802	4.86790618082735
"CASP9"	2.30435124253171	2.33002516520218	1.26088546831456	2.59564562202759	2.83205992277853	3.40922772962342
"DNAJC16"	2.9797761477765	2.96668620886154	3.0939370016124	3.60043614310364	3.00012971508653	3.22567645440827
"DDI2"	4.57207632351261	4.58022540944555	5.11600182894338	4.52751023230392	4.56010284935253	4.45339212785337
"RSC1A1"	1.92996823731295	2.06560855036029	2.67549961723938	1.95960695622007	2.09135933961279	1.81406081979407
"PLEKHM2"	6.24873314579774	6.33225256371077	5.53326158928973	6.82346373310213	6.1700744081909	6.18569360081378
"RP11-288I21.1"	0.777183710338702	1.30784781392613	-0.499336165205513	1.58601659284633	0.673146369523853	0.817631314424191
"FBLIM1"	3.19106115768109	3.18693680996176	1.91774995502648	4.29574718141467	4.28287297010338	4.56167677462849
"UQCRHL"	5.33046901126066	5.53338335989872	4.98573477613673	4.75450275612864	5.07383729670817	5.44930038420338
"RP11-169K16.8"	1.85843624084939	1.95246091597344	-1.18860006078069	0.0528444311625272	0.207440451728931	1.04439507944971
"FLJ37453"	1.5419550625309	1.43964550324788	1.03629332176934	1.89960162486579	1.78100923699648	2.13527375414465
"SPEN"	7.449322143893	7.42417704240739	8.39648103536007	8.77958843386549	7.69025701477202	7.34726599872058
"ZBTB17"	5.13810493212135	5.13250704776074	4.39852398066955	5.37640448512305	5.01984220637999	5.25462678014742
"FAM131C"	0.0957866977551898	0.0769470001932864	-2.9253490462405	-0.47314754363126	1.10059609430129	2.68345318260634
"EPHA2"	6.40947933553599	6.42441685770764	5.1937160861732	7.56176393123618	7.1018329965537	7.18994592842352
"ARHGEF19"	0.924560689331661	0.636675634584495	-0.499336165205513	-0.538053446912169	0.944467446386504	0.978339369521808
"RSG1"	0.156693009161627	0.45475189575205	-1.46611434326508	1.03663842735069	0.570044642820348	0.658005475967679
"FBXO42"	4.03073359726179	4.11846207184609	3.54195054986859	4.19200365709189	4.00755832004481	4.34780628245587
"SZRD1"	7.24864981032073	7.2925869224298	6.35704434735045	6.80436422865303	6.95514616006132	6.56585315470256
"SPATA21"	4.76413063791034	4.73221500244847	3.56084481612122	4.10168177383285	4.45370435078664	4.24093856633633
"NECAP2"	5.54500609554011	5.51440660838843	5.04060784319443	5.44413236765718	5.63065624367268	5.62147756643141
"RP4-798A10.2"	0.655845553019849	0.509112405427994	1.57154174745681	0.767937395471762	1.76942084680293	1.50949043207438
"CROCCP3"	3.61663217683661	3.39250641238937	2.81581427393385	2.89511432705014	4.30511551976171	4.26017764005888
"NBPF1"	5.30798994431044	5.39768895596237	4.90855052324794	5.67464378005721	5.27470356542704	5.43551933075057
"CROCCP2"	5.50164352739865	5.51274459858781	4.03627594445129	4.5471998178664	5.09255873079672	5.49726032019464
"MST1P2"	-0.215440013503841	-0.849896185289314	-1.46611434326508	1.18477786868345	0.98511198918095	0.740024979132577
"EIF1AXP1"	0.546300910053465	0.426783721510899	1.1151066491151	0.470840487158569	-0.230735131028146	-0.77196327979136
"CROCC"	6.26524917868818	6.22367234365353	4.58081609041619	5.29605998174267	6.18868305561404	6.61185035627075
"MST1L"	-1.02140793988226	0.00310755378720289	-2.01860285282263	1.03663842735069	0.769368856066284	0.245621070441098
"RP1-37C10.3"	2.24247699659506	2.17052397044869	-0.153023703655944	1.03663842735069	2.32303574469759	2.41665923893316
"ATP13A2"	5.1171874162263	5.15078851527763	2.88491865171864	4.4119886129298	5.46452868877914	5.53723926176344
"SDHB"	5.66778256299698	5.66340962428584	5.17697451755696	5.04639994300898	5.13494360200539	5.53436876513827
"PADI2"	9.50156469557575	9.57820868310029	8.30173194853742	9.62779427304299	10.0338774301063	9.88202771761856
"RP11-380J14.1"	1.07414280864104	1.02033347120504	0.175915585211743	0.794540808213417	-0.484531720306104	0.327494075741899
"PADI1"	4.65225564045143	4.69752221869854	3.84913138873145	5.11529085834878	5.69868009900978	5.65291623070276
"PADI3"	4.4692810529707	4.43860337872923	2.92921523350246	0.40330401161771	6.02898560906528	5.4913517971525
"RP1-20B21.4"	4.02461944823588	4.1720932496485	3.29915126872676	4.17438600094847	3.68870689252038	3.69280938730372
"RCC2"	6.74902283851167	6.82042490595854	6.19111919820851	6.93714708401733	6.38085253520515	6.44801300318894
